,X,Y,Class,Method
0,0.9540170092563373,0.7153555261405535,1,t-SNE
1,0.7952585830068528,0.4138809180839309,1,UMAP
2,0.18100577524143252,0.0076016977444739574,1,PCA
3,0.643321966796589,0.3663523120462205,1,t-SNE
4,0.3750109613170832,0.2183745503809959,1,UMAP
5,0.2924963060456013,0.006566823077724953,1,PCA
6,0.9076678416560047,0.8258934286473765,0,t-SNE
7,0.9989446495534127,0.109086285825232,0,UMAP
8,0.19775838248326266,0.007446145807238944,0,PCA
9,0.641708192905209,0.5075379047011525,0,t-SNE
10,0.44889071304595723,0.28009106897255587,0,UMAP
11,0.28066201566988214,0.006676640553340333,0,PCA
12,0.2719841057788237,0.9427824320692815,1,t-SNE
13,0.0010464914709879536,0.8888135406301783,1,UMAP
14,0.6916186410864177,0.0028623009771825986,1,PCA
15,0.6429509370275209,0.3779663345787411,1,t-SNE
16,0.3833466911809397,0.22509465728805064,1,UMAP
17,0.29134011083868727,0.006577496166362369,1,PCA
18,0.7958016934385511,0.9668098722556744,0,t-SNE
19,0.7883809872395782,0.0646995954612335,0,UMAP
20,0.2299459570676841,0.007147373404227917,0,PCA
21,0.6887680331880317,0.9269060328069093,1,t-SNE
22,0.6623255077383652,0.1291619518642549,1,UMAP
23,0.24865708438978776,0.00697368889877489,1,PCA
24,0.7049253056603357,0.5300568441502852,0,t-SNE
25,0.38477132935756275,0.22610043197638371,0,UMAP
26,0.2931409970852049,0.08027224689755685,0,PCA
27,0.5747551511109709,0.13219976870899253,0,t-SNE
28,0.23370901828729024,0.08015235517563646,0,UMAP
29,0.3162023941592125,0.006346800504744267,0,PCA
30,0.12919088605984363,0.19143303214989416,1,t-SNE
31,0.8456618245926162,0.8083509012144467,1,UMAP
32,0.061208249430402734,0.00871349841035845,1,PCA
33,0.6371682019249679,0.6267101286158128,0,t-SNE
34,0.4994109384869036,0.2537342979017697,0,UMAP
35,0.2714157115827863,0.006762478633899277,0,PCA
36,0.2672517519154422,0.9677422107892738,1,t-SNE
37,0.0,0.9076448808332134,1,UMAP
38,0.7587415893940375,0.0022392681789716474,1,PCA
39,0.26640754208792605,0.9732909676816368,1,t-SNE
40,0.0004488436622272496,0.9078912214738883,1,UMAP
41,0.7786154353969039,0.0020547851862241836,1,PCA
42,0.13877517705018627,0.1642963397472979,1,t-SNE
43,0.8193034747000478,0.7966499200871096,1,UMAP
44,0.06840634150138936,0.008646718384628261,1,PCA
45,0.9802837656829717,0.48970464918412226,1,t-SNE
46,0.6093357366912625,0.5110395717871539,1,UMAP
47,0.15465637465175913,0.040832817719441764,1,PCA
